vehicle_id,model,make_year,color
V224530,Convertible,2024,Black
V64685,Hatchback,2020,White
V407985,SUV,2020,Blue
V34457,Sedan,2020,White
V120074,Convertible,2018,White
V478515,Coupe,2017,White
V9008,Hatchback,2024,Green
V148824,Sedan,2024,Red
V173389,SUV,2021,Black
V127810,Truck,2021,Green
V320244,Coupe,2022,Blue
V22948,Coupe,2022,White
V491901,Hatchback,2022,Black
V253067,SUV,2019,Green
V336062,Coupe,2023,White
V64432,Convertible,2018,Green
V36313,Truck,2015,Blue
V47822,Truck,2021,Green
V356049,Sedan,2021,Black
V404675,Coupe,2023,Red
V344508,Truck,2019,Black
V351252,Convertible,2019,Black
V65388,Convertible,2015,Black
V240582,Hatchback,2024,Green
V398985,Hatchback,2016,Black
V447718,Convertible,2019,Green
V215099,Truck,2019,Green
V426708,Hatchback,2015,White
V79900,Sedan,2023,Green
V228870,SUV,2020,White
V301994,Truck,2018,Red
V261344,Hatchback,2021,Black
V91312,Coupe,2019,Black
V286713,Convertible,2018,White
V299441,Hatchback,2021,Red
V412405,Hatchback,2024,Black
V125911,SUV,2022,White
V459892,SUV,2021,White
V133720,Sedan,2024,Green
V325125,Convertible,2018,Blue
V291470,Convertible,2021,Black
V353329,Convertible,2022,Green
V356578,Hatchback,2019,Red
V473554,Truck,2016,Green
V17377,Hatchback,2015,Red
V66702,Truck,2015,White
V362716,Truck,2021,Blue
V429740,Hatchback,2021,Red
V275794,SUV,2021,Red
V189979,Sedan,2024,White
V396906,Coupe,2020,Blue
V266137,SUV,2018,Black
V217134,Sedan,2022,Red
V56851,Sedan,2018,Blue
V195621,Convertible,2021,Blue
V176938,Truck,2022,Black
V359545,Sedan,2018,Black
V21480,Hatchback,2016,Black
V104929,Sedan,2016,Green
V357816,Sedan,2015,Green
V157453,Hatchback,2016,Red
V156578,Hatchback,2018,Green
V18930,Convertible,2024,Blue
V374851,Convertible,2015,Green
V222229,Coupe,2023,Green
V286041,Sedan,2024,White
V467747,Convertible,2017,White
V260676,Coupe,2023,White
V214551,Convertible,2018,Black
V419660,Sedan,2015,Blue
V220544,Truck,2021,Blue
V186307,SUV,2023,Blue
V438500,Sedan,2016,White
V7185,Truck,2016,Red
V442305,Truck,2023,Black
V284225,Hatchback,2022,Blue
V177359,Sedan,2015,Blue
V436543,SUV,2015,Blue
V125996,Coupe,2023,Black
V210286,SUV,2023,White
V175984,Truck,2015,White
V372258,Coupe,2015,Black
V385115,Hatchback,2018,Red
V218616,Hatchback,2015,Red
V207537,Coupe,2019,Red
V233029,Hatchback,2018,Blue
V496663,SUV,2016,Green
V397013,SUV,2019,Green
V46817,Convertible,2018,Green
V401640,SUV,2023,White
V139680,Truck,2016,White
V67031,Convertible,2021,Red
V447673,Truck,2020,White
V235846,Hatchback,2020,Black
V464605,Coupe,2015,White
V390832,Hatchback,2016,Black
V444708,Truck,2022,Blue
V45950,Truck,2024,Red
V105588,Hatchback,2016,Red
V462721,Convertible,2017,Black
V94608,Sedan,2019,White
V44806,Coupe,2018,Black
V420633,Sedan,2021,Blue
V138625,Sedan,2021,Red
V254967,Hatchback,2017,Red
V226483,Convertible,2022,Green
V119502,Hatchback,2024,Black
V119075,Hatchback,2023,Red
V37228,SUV,2023,Green
V134753,Coupe,2015,Green
V177504,Coupe,2022,Blue
V44834,Coupe,2022,Black
V468042,Convertible,2023,Black
V265023,SUV,2021,Green
V191631,Convertible,2019,Blue
V426183,Sedan,2020,Green
V86575,Coupe,2024,Green
V184950,SUV,2017,Black
V177059,Sedan,2023,Blue
V416083,Sedan,2019,Green
V75553,SUV,2019,Red
V32581,Coupe,2015,Blue
V209963,SUV,2022,Black
V280088,Sedan,2024,Blue
V220772,SUV,2019,Red
V493038,Truck,2024,Green
V10887,Truck,2023,Green
V214816,Sedan,2022,Red
V229340,SUV,2022,Green
V451955,SUV,2018,Green
V33670,Truck,2016,White
V345511,Truck,2023,Blue
V301355,Hatchback,2021,White
V266557,Sedan,2019,Red
V258500,Truck,2016,White
V324726,Convertible,2023,Blue
V190245,Hatchback,2021,Blue
V387545,Hatchback,2019,White
V420451,Convertible,2021,Green
V320448,Hatchback,2016,Green
V181697,Convertible,2020,Blue
V181545,SUV,2024,Black
V234566,Coupe,2023,Red
V456039,Convertible,2020,Red
V345771,Coupe,2023,Blue
V185983,Hatchback,2022,White
V52641,Coupe,2022,Red
V230900,Coupe,2024,Blue
V380375,Hatchback,2016,Red
V316152,SUV,2016,Black
V7308,Hatchback,2020,Blue
V47687,Sedan,2018,Red
V280590,Coupe,2021,Black
V127147,Coupe,2021,Blue
V18695,Hatchback,2015,Black
V185072,Sedan,2015,Blue
V285075,Truck,2016,White
V46859,Truck,2015,White
V474730,Sedan,2021,Blue
V24566,SUV,2024,Green
V477822,Coupe,2024,Green
V17501,Hatchback,2015,Red
V396671,Coupe,2022,Green
V276493,Convertible,2018,Red
V426277,Hatchback,2018,Green
V460736,Hatchback,2023,Black
V245938,Coupe,2017,White
V284373,SUV,2022,Black
V128006,SUV,2022,Blue
V2318,Hatchback,2015,Blue
V473654,Hatchback,2020,Green
V75680,Truck,2020,Red
V299350,Convertible,2016,White
V412632,Sedan,2022,Black
V348810,Hatchback,2021,White
V49760,SUV,2019,Blue
V383587,Convertible,2019,Green
V411027,Truck,2022,Red
V360399,Convertible,2024,Black
V490775,Truck,2018,White
V39509,Coupe,2024,Green
V31243,Truck,2021,Green
V104459,Hatchback,2018,White
V452403,SUV,2022,Red
V19914,Truck,2018,White
V381469,Convertible,2018,Blue
V425967,Sedan,2017,Black
V441228,Coupe,2017,White
V259188,Coupe,2019,Green
V459775,SUV,2020,White
V92634,Truck,2024,Green
V416119,Convertible,2019,Blue
V163837,Hatchback,2019,Green
V6397,Coupe,2021,Black
V145078,Truck,2024,Red
V390911,SUV,2017,White
V408166,Coupe,2023,Red
V438035,Coupe,2017,Red
V76500,Hatchback,2015,Red
V297812,Truck,2019,Green
V385885,Hatchback,2020,Red
V75141,Convertible,2021,White
V458045,SUV,2021,Blue
V456685,Sedan,2021,White
V394667,SUV,2020,Black
V156593,SUV,2021,Red
V332247,Convertible,2017,Red
V300842,Coupe,2017,White
V373457,Coupe,2017,Blue
V410819,SUV,2021,Blue
V438052,Sedan,2015,Blue
V387253,Truck,2024,Blue
V168951,Convertible,2016,Red
V120234,Convertible,2020,Blue
V261606,Convertible,2024,Black
V44544,Sedan,2015,Red
V395473,Convertible,2024,Green
V314916,Convertible,2023,Blue
V366945,Convertible,2017,Blue
V394827,Coupe,2019,White
V112592,Truck,2016,White
V186219,Coupe,2020,Red
V407431,Coupe,2015,Green
V169884,Hatchback,2018,Black
V103685,Hatchback,2018,Green
V58192,Hatchback,2021,Red
V171641,Coupe,2015,Blue
V134709,Sedan,2019,Blue
V371957,Truck,2016,Green
V200477,Sedan,2024,Blue
V313667,Convertible,2024,Red
V207388,Convertible,2018,Black
V105197,Convertible,2017,Green
V341980,Hatchback,2020,Blue
V183656,Coupe,2018,Black
V134078,Truck,2016,White
V447363,Hatchback,2020,Green
V402066,Coupe,2019,White
V167416,Hatchback,2018,White
V26144,Coupe,2024,White
V136880,SUV,2020,Blue
V392131,Truck,2018,Red
V422238,Truck,2021,White
V12965,Convertible,2020,Red
V163833,Sedan,2017,Green
V281760,Truck,2017,Red
V402945,Truck,2015,Blue
V418277,Sedan,2016,Green
V161707,SUV,2022,Red
V66660,Hatchback,2020,Black
V303194,SUV,2016,White
V14179,Hatchback,2015,Red
V330912,Convertible,2020,Green
V43322,SUV,2020,Blue
V329051,SUV,2022,Green
V450894,SUV,2020,Blue
V12234,Convertible,2020,Blue
V226059,Coupe,2024,Black
V381416,Sedan,2021,White
V322817,Convertible,2019,Blue
V23810,Hatchback,2019,Red
V395724,Sedan,2022,Red
V385290,Sedan,2024,Black
V445530,Truck,2021,Blue
V22242,Sedan,2015,Blue
V138144,SUV,2020,Black
V367371,Coupe,2019,Blue
V25038,Truck,2024,Red
V171327,Convertible,2021,White
V202372,Sedan,2020,White
V123259,Convertible,2017,Blue
V180638,Hatchback,2016,White
V191494,SUV,2018,Green
V301178,SUV,2018,Red
V131041,Coupe,2024,Black
V74295,Truck,2015,Green
V254958,Convertible,2022,Green
V477663,Coupe,2021,Red
V403719,Truck,2021,Blue
V172812,Truck,2021,Blue
V62825,SUV,2017,Black
V464719,Hatchback,2019,White
V343038,Sedan,2015,White
V13022,Truck,2024,Blue
V53435,Coupe,2020,Red
V244780,Sedan,2021,Red
V127918,Convertible,2015,Red
V332445,Truck,2015,Red
V378778,Coupe,2019,Green
V480975,Coupe,2022,Black
V478441,Sedan,2018,White
V96240,Sedan,2022,Green
V156335,Sedan,2020,Green
V142614,Hatchback,2024,Red
V1798,SUV,2016,Green
V360434,Hatchback,2016,White
V174927,Truck,2017,Red
V141169,Coupe,2023,Green
V324615,Sedan,2015,Red
V109325,Truck,2020,Blue
V94937,SUV,2019,Blue
V110246,Hatchback,2015,Blue
V292299,Coupe,2024,Blue
V370856,Hatchback,2017,Green
V393282,Coupe,2020,White
V208527,SUV,2018,Red
V24523,Truck,2022,White
V165238,SUV,2015,White
V266799,Hatchback,2016,Green
V436669,SUV,2024,Blue
V279088,Sedan,2018,Blue
V272886,Sedan,2020,Black
V442085,Hatchback,2023,Blue
V257517,Sedan,2022,Black
V74711,Coupe,2015,Green
V474018,Hatchback,2023,White
V449187,SUV,2017,Black
V451149,Sedan,2021,White
V399734,SUV,2017,White
V315376,Convertible,2024,Black
V41103,Sedan,2023,Blue
V192621,SUV,2024,Green
V442275,Hatchback,2016,White
V384444,Hatchback,2023,Black
V490842,Coupe,2016,White
V211432,Sedan,2023,Green
V128927,Convertible,2019,Red
V468335,Hatchback,2017,Blue
V139523,Sedan,2019,Red
V212813,Hatchback,2021,White
V239098,Sedan,2019,Black
V215561,SUV,2022,Blue
V71507,Sedan,2024,White
V7380,SUV,2022,Black
V236240,Convertible,2020,White
V404430,Sedan,2016,Green
V70198,Hatchback,2019,Black
V121334,Hatchback,2021,White
V208701,Coupe,2016,Green
V4435,Hatchback,2017,Green
V86370,Convertible,2016,Black
V373354,Truck,2020,Green
V263759,Coupe,2015,Blue
V43883,Hatchback,2020,Black
V365763,Convertible,2024,Red
V483139,Truck,2015,Green
V350156,Coupe,2015,Green
V25223,Hatchback,2023,Red
V281941,Convertible,2022,Red
V113451,Hatchback,2016,Green
V46278,Convertible,2023,Red
V182345,Truck,2015,White
V73288,Hatchback,2021,Blue
V204262,SUV,2018,Black
V348853,SUV,2017,Green
V95694,Hatchback,2021,Red
V57022,SUV,2018,Green
V365360,Convertible,2024,Red
V441576,Coupe,2020,White
V327911,Truck,2020,Red
V146647,SUV,2018,White
V160354,Coupe,2022,Black
V112828,Sedan,2021,White
V395575,Hatchback,2018,Red
V463109,Coupe,2021,Red
V225453,Hatchback,2019,Black
V146725,Truck,2021,White
V337469,SUV,2023,Black
V172888,SUV,2016,Black
V155269,Convertible,2018,Green
V153398,SUV,2017,Red
V99127,Truck,2022,Red
V358511,Sedan,2016,Blue
V336688,SUV,2021,Black
V206471,Sedan,2020,Green
V404941,Coupe,2016,White
V197648,Coupe,2015,White
V371725,Convertible,2021,White
V189589,Coupe,2024,Blue
V222143,Coupe,2017,Black
V248523,Sedan,2019,Red
V388768,Coupe,2023,White
V192350,Hatchback,2020,White
V378807,Sedan,2024,Black
V22274,SUV,2023,Green
V132736,Truck,2021,Blue
V65208,Sedan,2015,Green
V176706,Coupe,2023,Red
V149656,Truck,2024,Black
V237785,SUV,2023,Black
V450489,SUV,2023,Red
V386379,Sedan,2023,Green
V354732,Convertible,2018,Green
V25386,Hatchback,2024,White
V174674,Coupe,2020,Blue
V337704,Truck,2017,Blue
V52977,Hatchback,2015,Black
V366670,Hatchback,2023,Blue
V438594,Hatchback,2017,White
V128432,Convertible,2023,Black
V35529,SUV,2018,White
V459211,Sedan,2016,White
V414538,SUV,2017,Blue
V243265,SUV,2019,Red
V229575,Hatchback,2019,Green
V449934,SUV,2022,Black
V456413,Coupe,2016,Red
V357598,Coupe,2021,Blue
V455293,Sedan,2017,Red
V54912,Convertible,2016,Blue
V36198,Hatchback,2015,Red
V395617,SUV,2015,Green
V121880,Convertible,2016,Black
V5642,Hatchback,2020,Green
V360928,Hatchback,2019,Blue
V33627,SUV,2016,White
V361211,Hatchback,2024,Red
V419615,Truck,2017,Black
V322377,Coupe,2022,White
V10554,SUV,2024,Red
V374451,Convertible,2020,White
V175740,Convertible,2019,Black
V218245,Coupe,2023,Blue
V69108,Convertible,2020,Black
V315155,Coupe,2021,Black
V115795,SUV,2022,Blue
V346664,Hatchback,2017,Black
V495791,Convertible,2017,Blue
V363420,SUV,2018,Blue
V219638,Coupe,2015,Green
V421364,Sedan,2019,Black
V100299,Coupe,2020,Blue
V312183,Coupe,2023,Black
V414080,Convertible,2018,Black
V227366,Hatchback,2021,Blue
V224109,Sedan,2018,Green
V34828,SUV,2016,Black
V479278,Truck,2018,White
V205012,Sedan,2022,Red
V68812,Truck,2016,Red
V278725,Coupe,2023,Red
V454071,Sedan,2024,Blue
V457530,Sedan,2024,Black
V96392,Truck,2019,Green
V147420,SUV,2017,Red
V340378,Coupe,2020,Black
V451575,Truck,2020,Green
V298723,Convertible,2018,Blue
V212639,Hatchback,2015,Red
V457639,Truck,2024,Black
V44935,Convertible,2017,Black
V362073,Convertible,2024,Red
V270088,Sedan,2021,Green
V142857,Truck,2018,Green
V436343,Coupe,2019,Black
V94913,Coupe,2015,Red
V256866,Truck,2021,Green
V356058,Hatchback,2016,Red
V155311,Truck,2020,Black
V215272,Truck,2024,White
V162427,Coupe,2024,Black
V376176,Convertible,2017,Red
V290109,Hatchback,2015,Red
V259929,Sedan,2018,Blue
V365102,Coupe,2023,Red
V474291,Truck,2019,Red
V461650,Sedan,2015,Blue
V287424,Convertible,2017,White
V381754,Sedan,2021,White
V20794,Coupe,2015,Blue
V160822,SUV,2015,Green
V271964,Convertible,2016,Green
V61580,SUV,2017,White
V238535,Coupe,2024,Green
V355516,Convertible,2016,Black
V16552,SUV,2017,Black
V468115,SUV,2020,White
V271892,Sedan,2016,Blue
V202165,Coupe,2021,White
V224545,SUV,2019,Black
V376807,Hatchback,2022,Red
V10736,Truck,2024,Blue
V348617,Hatchback,2023,Red
V16066,SUV,2022,Black
V141069,Truck,2016,Blue
V427634,Convertible,2022,Green
V477132,Truck,2015,Red
V3058,Hatchback,2019,Green
V308013,SUV,2020,Blue
V233929,Convertible,2024,Green
V426230,Coupe,2020,White
V118389,Truck,2023,White
V375359,Coupe,2018,White
V399344,Coupe,2022,Green
V55617,Truck,2023,Black
V165956,Hatchback,2022,Red
V48869,Truck,2024,White
V289798,SUV,2019,Black
V196808,Sedan,2024,White
V56357,Truck,2018,Green
V400649,Hatchback,2022,Green
V426386,Coupe,2024,Blue
V93502,SUV,2024,Black
V26527,Convertible,2022,Black
V83564,Truck,2017,Green
V9962,Coupe,2022,White
V434217,Sedan,2023,Red
V114867,Truck,2016,White
V349514,Hatchback,2017,Blue
V476630,Sedan,2024,White
V334376,Hatchback,2015,Green
V215461,Convertible,2021,White
V96595,Convertible,2019,Red
V379926,Sedan,2018,Blue
V414331,Hatchback,2015,White
V353195,Coupe,2019,Green
V471602,Truck,2017,Green
V314977,Convertible,2024,Blue
V302233,Sedan,2021,Black
V74541,Hatchback,2018,White
V188898,Hatchback,2022,Green
V13285,SUV,2023,Black
V448958,SUV,2022,Green
V192097,SUV,2024,Red
V118036,Truck,2024,White
V427899,Convertible,2017,Red
V130560,Truck,2018,Blue
V339198,Sedan,2017,Green
V383578,Coupe,2024,White
V110613,Truck,2019,Red
V431903,Truck,2018,White
V481588,Sedan,2018,Green
V230719,SUV,2018,White
V219135,SUV,2016,Blue
V344512,Coupe,2021,Red
V198779,Convertible,2017,Black
V210152,SUV,2018,Green
V453647,Sedan,2015,Blue
V365521,Coupe,2017,Black
V446227,Coupe,2016,Blue
V479307,Sedan,2017,Black
V296887,Truck,2023,Green
V146816,Truck,2021,Blue
V361038,Coupe,2021,Green
V420795,Convertible,2015,Blue
V147700,Coupe,2017,Red
V122430,Hatchback,2017,Black
V254878,Convertible,2024,Green
V316533,Hatchback,2020,Blue
V390425,Coupe,2019,White
V119594,Truck,2024,Green
V92530,Truck,2020,Green
V464225,Sedan,2015,Blue
V290501,SUV,2019,Red
V30379,Hatchback,2019,Blue
V193644,Sedan,2022,Red
V119912,Convertible,2023,White
V117708,Coupe,2022,White
V255279,Coupe,2021,Black
V89030,Hatchback,2018,White
V441710,Hatchback,2017,Black
V367747,Convertible,2018,Green
V157320,Convertible,2024,Red
V235774,Truck,2022,Black
V421788,Sedan,2016,Red
V197251,Hatchback,2015,Blue
V90495,SUV,2023,Blue
V218312,Coupe,2024,Red
V352541,Convertible,2017,Red
V116856,Coupe,2018,Red
V295540,Convertible,2018,Red
V353470,Truck,2024,Blue
V454180,Truck,2021,Red
V198976,Convertible,2016,White
V113884,SUV,2023,Green
V236634,Sedan,2017,Green
V292989,Convertible,2018,Red
V261597,Truck,2017,Blue
V247943,Convertible,2021,Red
V312379,Hatchback,2019,Blue
V248491,Convertible,2017,Blue
V484688,Truck,2016,Black
V109356,Truck,2023,White
V57916,Hatchback,2017,Black
V333706,Sedan,2023,Blue
V469844,Sedan,2016,Red
V99885,Convertible,2016,White
V208124,Truck,2022,Black
V269255,Hatchback,2018,Blue
V454083,Coupe,2022,Green
V78853,Sedan,2020,White
V276082,Sedan,2017,Blue
V175302,Truck,2016,Black
V4249,Truck,2016,White
V111932,Truck,2019,White
V263273,Hatchback,2021,Blue
V416973,Hatchback,2024,Blue
V499557,Truck,2018,Red
V116040,Truck,2019,Red
V387786,Coupe,2021,Blue
V33307,Hatchback,2017,Green
V100609,Coupe,2019,Green
V184546,Truck,2021,Blue
V292337,Sedan,2023,Blue
V217667,SUV,2024,Black
V359517,Truck,2017,Green
V46602,Hatchback,2018,Blue
V111854,Coupe,2022,Green
V99261,Hatchback,2017,Black
V420362,Hatchback,2023,Blue
V329476,Hatchback,2018,White
V472153,Truck,2015,Blue
V419533,Sedan,2024,Green
V381021,Coupe,2024,Red
V360481,Convertible,2020,Black
V224806,Truck,2018,Red
V287446,SUV,2024,White
V64408,Truck,2023,Blue
V262880,Coupe,2015,Green
V250992,Convertible,2024,Blue
V16874,SUV,2017,Blue
V440528,Sedan,2020,Black
V299207,Hatchback,2024,Blue
V131960,Truck,2015,Black
V57886,SUV,2024,Red
V278558,Truck,2017,White
V216741,Sedan,2022,Blue
V348418,Convertible,2021,Black
V169436,Sedan,2024,Red
V327838,Truck,2022,Green
V178237,Coupe,2016,Black
V471754,Convertible,2022,Green
V483111,Truck,2017,Green
V428809,SUV,2015,Green
V371920,Truck,2024,Blue
V340006,Truck,2015,Black
V299837,Convertible,2022,Green
V310823,Hatchback,2024,Blue
V149315,SUV,2024,Black
V98536,SUV,2015,Red
V452062,SUV,2016,Red
V464276,Coupe,2017,Green
V369051,Sedan,2018,White
V481922,Hatchback,2017,Red
V286924,Coupe,2020,Blue
V66944,Convertible,2015,White
V355097,SUV,2024,Blue
V117814,SUV,2023,White
V398768,SUV,2024,White
V458318,Hatchback,2015,Red
V401175,Sedan,2019,Black
V344686,Coupe,2017,Green
V169068,Convertible,2023,Blue
V498187,Convertible,2021,Black
V117408,Coupe,2017,Green
V494431,Hatchback,2015,Blue
V96608,Truck,2021,Green
V243210,Hatchback,2024,Blue
V147750,SUV,2021,Blue
V481717,Convertible,2018,Blue
V494928,Sedan,2022,Blue
V455970,SUV,2024,Black
V326070,Truck,2015,Green
V258545,Coupe,2015,Red
V454288,Sedan,2016,White
V403620,Convertible,2021,Red
V319045,Hatchback,2015,White
V336864,Hatchback,2023,Red
V282460,Coupe,2024,Green
V255998,SUV,2018,Blue
V214666,Convertible,2017,White
V125196,Sedan,2021,White
V116784,Sedan,2020,Red
V4670,Sedan,2021,White
V20929,Sedan,2023,Green
V497204,Convertible,2024,White
V379126,SUV,2017,White
V354442,Truck,2017,White
V388805,Hatchback,2021,Green
V113322,SUV,2024,Red
V478387,Truck,2017,White
V146987,Sedan,2024,Red
V172415,Coupe,2015,Black
V438749,Coupe,2020,Green
V272005,Truck,2017,Green
V313579,Hatchback,2022,Blue
V250012,Sedan,2023,Red
V13244,Sedan,2023,White
V372977,Hatchback,2020,Black
V438044,SUV,2021,Black
V477786,Sedan,2015,Blue
V470532,SUV,2019,White
V264891,Hatchback,2017,White
